Species,MaxTreeHeight,DBH,parameter,ll,l,m,h,hh,Sg_effect,Incertitude
Abuta grandifolia,10.6123381375226,1-3,a,-0.19744640000000002,-0.13826475,-0.0793339,-0.034767175000000004,-0.012958309999999992,NA,0.18448809000000002
Abuta grandifolia,10.6123381375226,1-3,O,-6.36682,-5.7457275,-5.037065,-4.325022499999999,-3.2430869999999996,TRUE,3.123733
Abuta grandifolia,10.6123381375226,1-3,gamma,-8.770617,-7.7247375,-6.58012,-5.41835,-4.464423999999998,NA,4.306193000000001
Abuta grandifolia,10.6123381375226,1-3,tau,-1.155789,-0.6246645,-0.0235187,0.57640725,1.1280280000000007,FALSE,2.283817000000001
Abuta grandifolia,10.6123381375226,3-10,a,-1.002111,-0.7518425,-0.4874125,-0.290446,-0.17607889999999998,NA,0.8260320999999999
Abuta grandifolia,10.6123381375226,3-10,O,-5.803748,-5.1214575,-4.690075,-4.402200000000001,-4.213483,TRUE,1.5902649999999996
Abuta grandifolia,10.6123381375226,3-10,gamma,-7.817613000000001,-6.444845,-4.854025,-3.2003025000000003,-1.6330999999999996,NA,6.184513000000001
Abuta grandifolia,10.6123381375226,3-10,tau,-2.285613,-1.4326125,-0.561436,0.29601774999999997,1.0145600000000001,FALSE,3.300173
Anacardium spruceanum,34.3205832403601,1-3,a,-0.2244658,-0.146378,-0.07688715,-0.032020450000000006,-0.011323129999999999,NA,0.21314267
Anacardium spruceanum,34.3205832403601,1-3,O,-6.269827,-5.5215875,-4.673534999999999,-3.756735,-2.3792069999999987,TRUE,3.8906200000000015
Anacardium spruceanum,34.3205832403601,1-3,gamma,-10.17203,-9.0017175,-7.593485,-6.2259425,-4.8947009999999995,NA,5.277329
Anacardium spruceanum,34.3205832403601,1-3,tau,-1.2130110000000005,-0.49159200000000003,0.24813000000000002,0.97383425,1.570623,FALSE,2.7836340000000006
Anacardium spruceanum,34.3205832403601,3-10,a,-0.465052,-0.34558475,-0.2218555,-0.118587,-0.06310192999999999,NA,0.40195007000000005
Anacardium spruceanum,34.3205832403601,3-10,O,-5.90672,-5.0722125,-4.477355,-4.075115,-3.791156,TRUE,2.115564
Anacardium spruceanum,34.3205832403601,3-10,gamma,-11.74588,-10.682175,-9.48162,-8.272079999999999,-7.243822,NA,4.502058
Anacardium spruceanum,34.3205832403601,3-10,tau,0.6751465999999999,1.2146625,1.83382,2.4419899999999997,2.9534019999999996,TRUE,2.2782554
Anacardium spruceanum,34.3205832403601,10-25,a,-0.34038430000000003,-0.22454524999999997,-0.1263915,-0.0706525,-0.038466149999999956,NA,0.30191815000000005
Anacardium spruceanum,34.3205832403601,10-25,O,-6.090624,-4.9749225,-3.9438500000000003,-3.253205,-2.8087009999999997,TRUE,3.2819230000000004
Anacardium spruceanum,34.3205832403601,10-25,gamma,-13.1403,-11.583025000000001,-9.921705,-8.234502500000001,-6.785218999999999,NA,6.355081000000001
Anacardium spruceanum,34.3205832403601,10-25,tau,0.43391599999999997,1.2139600000000002,2.05429,2.8779549999999996,3.6602820000000005,TRUE,3.2263660000000005
Anacardium spruceanum,34.3205832403601,>25,a,-1.310138,-0.9306015000000001,-0.5520149999999999,-0.23730375,-0.06850493999999994,NA,1.24163306
Anacardium spruceanum,34.3205832403601,>25,O,-2.3865140000000005,-1.5979925000000001,-1.283805,-1.072215,-0.8539737999999997,TRUE,1.5325402000000008
Anacardium spruceanum,34.3205832403601,>25,gamma,-11.97358,-10.559225000000001,-8.958829999999999,-7.366585000000001,-5.878661,NA,6.094919
